Gade	pa:27:82
Gaeta	i:26:92	pa:8:62
Gaia	pu:16:140
Galassia	pa:14:99
Galeotto	i:5:137
Galigaio	pa:16:101
Galizia	pa:25:18
Galli	pa:16:105
Gallura	i:22:82	pu:8:81
Galluzzo	pa:16:53
Galïeno	i:4:143
Ganellone	i:32:122
Gange	pu:2:5	pu:27:4	pa:11:51
Ganimede	pu:9:23
Garda	i:20:65
Gardingo	i:23:108
Gaville	i:25:151
Gedeon	pu:24:125
Gelboè	pu:12:41
Gemelli	pa:22:152
Genesì	i:11:107
Genovese	pa:9:90
Genovesi	i:33:151
Gentili	pa:20:104
Gentucca	pu:24:37
Geri del Bello	i:29:27
Gerïon	i:17:97	i:18:20	pu:27:23
Gerïone	i:17:133
Gherardo	pu:16:124	pu:16:133	pu:16:138
Ghibellin	pa:6:103
Ghin di Tacco	pu:6:14
Ghisolabella	i:18:55
Gianni Schicchi	i:30:32
Gianni de' Soldanier	i:32:121
Giano	pa:6:81
Giganti	pu:12:33
Ginevra	pa:16:15
Giocasta	pu:22:56
Gioseppo	i:30:97
Giotto	pu:11:95
Giovacchino	pa:12:140
Giovanna	pu:5:89	pu:8:71	pa:12:80
Giovanni	pu:29:105	pu:32:76	pa:4:29	pa:32:31
Giove	i:14:52	i:31:45	i:31:92	pu:6:118	pu:29:120	pu:32:112	pa:4:62	pa:18:95	pa:22:145
Giovenale	pu:22:14
Giuda	i:9:27	i:31:143	pu:20:74	pu:21:84	pa:16:123
Giuda Scarïotto	i:34:62
Giudecca	i:34:117
Giudei	i:23:123	i:27:87	pa:7:47	pa:29:102
Giudeo	pa:5:81
Giuochi	pa:16:104
Glauco	pa:1:68
Gomita	i:22:81
Gomorra	pu:26:40
Gorgona	i:33:82
Gorgón	i:9:56
Gottifredi	pa:18:47
Governol	i:20:78
Graffiacan	i:22:34
Graffiacane	i:21:122
Grazïan	pa:10:104
Greci	pu:9:39	pu:22:88	pu:22:108	pa:5:69	pa:16:89
Grecia	i:20:108
Greco	i:30:122
Gregorio	pu:10:75	pa:28:133
Gualandi	i:33:32
Gualdo	pa:11:48
Gualdrada	i:16:37
Gualterotti	pa:16:133
Guanto	pu:20:46
Guaschi	pa:27:58
Guasco	pa:17:82
Guascogna	pu:20:66
Guelfi	pa:6:107
Guido	i:10:63	i:28:77	i:30:77	pu:11:97	pa:16:98
Guido Bonatti	i:20:118
Guido Guerra	i:16:38
Guido Guinizzelli	pu:26:92
Guido da Castel	pu:16:125
Guido da Prata	pu:14:104
Guido del Duca	pu:14:81
Guido di Carpigna	pu:14:98
Guiglielmo	pu:7:134	pa:18:46	pa:20:62
Guiglielmo Aldobrandesco	pu:11:59
Guiglielmo Borsiere	i:16:70
Guittone	pu:24:56	pu:26:124
Guizzante	i:15:4
I	pa:26:134
Iacobbe	pa:22:71
Iacomo	pu:7:119
Iacopo	i:13:133	pu:32:76
Iacopo Rusticucci	i:6:80	i:16:44
Iacòb	pa:8:131
Iarba	pu:31:72
Iasón	i:18:86	i:19:85	pa:2:18
Ibero	pu:27:3
Icaro	i:17:109
Ida	i:14:98
Iddio	pu:13:117	pa:3:108	pa:20:138
Ieptè	pa:5:66
Ieronimo	pa:29:37
Ierusalemme	pu:23:29	pa:19:127	pa:25:56
Ierusalèm	pu:2:3
Iesù	pa:25:33
Iesù Cristo	pa:31:107
Ilerda	pu:18:101
Illuminato	pa:12:130
Ilïón	i:1:75	pu:12:62
Importuni	pa:16:133
Indi	pu:32:41	pa:29:101
Indo	pu:26:21	pa:19:71
Indïa	i:14:32
Infangato	pa:16:123
Inghilese	pa:19:122
Innocenzio	pa:11:92
Iole	pa:9:102
Iordan	pu:18:135	pa:22:94
Iosafàt	i:10:11
Iosuè	pa:18:38
Iosüè	pu:20:111	pa:9:125
Iove	pa:27:14
Iperïone	pa:22:142
Ipocràte	i:4:143	pu:29:137
Ipolito	pa:17:46
Isaia	pa:25:91
Isara	pa:6:59
Isidoro	pa:10:131
Isifile	i:18:92
Ismene	pu:22:111
Ismeno	pu:18:91
Isopo	i:23:4
Ispagna	pu:18:102
Israèl	i:4:59
Isräel	pu:2:46
Istra	i:27:21
Italia	i:1:106	i:9:114	i:20:61	pu:6:76	pu:6:124	pu:7:95	pu:13:96	pu:20:67	pu:30:86	pa:21:106	pa:30:137
Iuba	pa:6:70
Iudìt	pa:32:10
Iulia	i:4:128
Iulio	i:1:70
Iuno	pa:28:32
Iunone	i:30:1	pa:12:12
Iustinïano	pu:6:89	pa:6:10
